ItemName,Category,Year,ItemUnit,ItemValue
水污染罰鍰次數/工業區專用污水下水道系統,屏東縣,104,次,1
水污染罰鍰次數/工業區專用污水下水道系統,嘉義縣,104,次,1
水污染罰鍰次數/工業區專用污水下水道系統,雲林縣,104,次,1
水污染罰鍰次數/工業區專用污水下水道系統,南投縣,104,次,1
水污染罰鍰次數/工業區專用污水下水道系統,彰化縣,104,次,8
水污染罰鍰次數/工業區專用污水下水道系統,苗栗縣,104,次,2
水污染罰鍰次數/工業區專用污水下水道系統,新竹縣,104,次,3
水污染罰鍰次數/工業區專用污水下水道系統,宜蘭縣,104,次,4
水污染罰鍰次數/工業區專用污水下水道系統,高雄市,104,次,7
水污染罰鍰次數/工業區專用污水下水道系統,臺南市,104,次,2
水污染罰鍰次數/工業區專用污水下水道系統,臺中市,104,次,2
水污染罰鍰次數/工業區專用污水下水道系統,桃園市,104,次,16
水污染罰鍰次數/工業區專用污水下水道系統,臺北市,104,次,－
水污染罰鍰次數/工業區專用污水下水道系統,新北市,104,次,1
水污染罰鍰次數/工業區專用污水下水道系統,總計,104,次,49
水污染罰鍰次數/畜牧業(一)廢水,連江縣,104,次,－
水污染罰鍰次數/畜牧業(一)廢水,金門縣,104,次,－
水污染罰鍰次數/畜牧業(一)廢水,嘉義市,104,次,－
水污染罰鍰次數/畜牧業(一)廢水,新竹市,104,次,3
水污染罰鍰次數/畜牧業(一)廢水,基隆市,104,次,－
水污染罰鍰次數/畜牧業(一)廢水,澎湖縣,104,次,－
水污染罰鍰次數/畜牧業(一)廢水,花蓮縣,104,次,34
水污染罰鍰次數/畜牧業(一)廢水,臺東縣,104,次,5
水污染罰鍰次數/畜牧業(一)廢水,屏東縣,104,次,84
水污染罰鍰次數/畜牧業(一)廢水,嘉義縣,104,次,26
水污染罰鍰次數/畜牧業(一)廢水,雲林縣,104,次,81
水污染罰鍰次數/畜牧業(一)廢水,南投縣,104,次,10
水污染罰鍰次數/畜牧業(一)廢水,彰化縣,104,次,43
水污染罰鍰次數/畜牧業(一)廢水,苗栗縣,104,次,11
水污染罰鍰次數/畜牧業(一)廢水,新竹縣,104,次,25
水污染罰鍰次數/畜牧業(一)廢水,宜蘭縣,104,次,19
水污染罰鍰次數/畜牧業(一)廢水,高雄市,104,次,63
水污染罰鍰次數/畜牧業(一)廢水,臺南市,104,次,64
水污染罰鍰次數/畜牧業(一)廢水,臺中市,104,次,10
水污染罰鍰次數/畜牧業(一)廢水,桃園市,104,次,14
水污染罰鍰次數/畜牧業(一)廢水,臺北市,104,次,－
水污染罰鍰次數/畜牧業(一)廢水,新北市,104,次,28
水污染罰鍰次數/畜牧業(一)廢水,總計,104,次,520
水污染罰鍰次數/事業廢水[畜牧業(一)除外],連江縣,104,次,－
水污染罰鍰次數/事業廢水[畜牧業(一)除外],金門縣,104,次,7
水污染罰鍰次數/事業廢水[畜牧業(一)除外],嘉義市,104,次,11
水污染罰鍰次數/事業廢水[畜牧業(一)除外],新竹市,104,次,51
水污染罰鍰次數/事業廢水[畜牧業(一)除外],基隆市,104,次,12
水污染罰鍰次數/事業廢水[畜牧業(一)除外],澎湖縣,104,次,1
水污染罰鍰次數/事業廢水[畜牧業(一)除外],花蓮縣,104,次,20
水污染罰鍰次數/事業廢水[畜牧業(一)除外],臺東縣,104,次,20
水污染罰鍰次數/事業廢水[畜牧業(一)除外],屏東縣,104,次,50
水污染罰鍰次數/事業廢水[畜牧業(一)除外],嘉義縣,104,次,38
水污染罰鍰次數/事業廢水[畜牧業(一)除外],雲林縣,104,次,48
水污染罰鍰次數/事業廢水[畜牧業(一)除外],南投縣,104,次,39
水污染罰鍰次數/事業廢水[畜牧業(一)除外],彰化縣,104,次,333
水污染罰鍰次數/事業廢水[畜牧業(一)除外],苗栗縣,104,次,116
水污染罰鍰次數/事業廢水[畜牧業(一)除外],新竹縣,104,次,118
水污染罰鍰次數/事業廢水[畜牧業(一)除外],宜蘭縣,104,次,44
水污染罰鍰次數/事業廢水[畜牧業(一)除外],高雄市,104,次,263
水污染罰鍰次數/事業廢水[畜牧業(一)除外],臺南市,104,次,187
水污染罰鍰次數/事業廢水[畜牧業(一)除外],臺中市,104,次,317
水污染罰鍰次數/事業廢水[畜牧業(一)除外],桃園市,104,次,585
水污染罰鍰次數/事業廢水[畜牧業(一)除外],臺北市,104,次,32
水污染罰鍰次數/事業廢水[畜牧業(一)除外],新北市,104,次,155
水污染罰鍰次數/事業廢水[畜牧業(一)除外],總計,104,次,"2,447"
水污染罰鍰次數/總計,連江縣,104,次,－
水污染罰鍰次數/總計,金門縣,104,次,7
水污染罰鍰次數/總計,嘉義市,104,次,16
水污染罰鍰次數/總計,新竹市,104,次,69
水污染罰鍰次數/總計,基隆市,104,次,13
水污染罰鍰次數/總計,澎湖縣,104,次,2
水污染罰鍰次數/總計,花蓮縣,104,次,54
水污染罰鍰次數/總計,臺東縣,104,次,25
水污染罰鍰次數/總計,屏東縣,104,次,135
水污染罰鍰次數/總計,嘉義縣,104,次,65
水污染罰鍰次數/總計,雲林縣,104,次,130
水污染罰鍰次數/總計,南投縣,104,次,51
水污染罰鍰次數/總計,彰化縣,104,次,384
水污染罰鍰次數/總計,苗栗縣,104,次,129
水污染罰鍰次數/總計,新竹縣,104,次,171
水污染罰鍰次數/總計,宜蘭縣,104,次,69
水污染罰鍰次數/總計,高雄市,104,次,335
水污染罰鍰次數/總計,臺南市,104,次,255
水污染罰鍰次數/總計,臺中市,104,次,336
水污染罰鍰次數/總計,桃園市,104,次,616
水污染罰鍰次數/總計,臺北市,104,次,35
水污染罰鍰次數/總計,新北市,104,次,197
水污染罰鍰次數/總計,總計,104,次,"3,094"
水污染罰鍰次數/其他,連江縣,103,次,－
水污染罰鍰次數/其他,金門縣,103,次,－
水污染罰鍰次數/其他,嘉義市,103,次,－
水污染罰鍰次數/其他,新竹市,103,次,－
水污染罰鍰次數/其他,基隆市,103,次,－
水污染罰鍰次數/其他,澎湖縣,103,次,－
水污染罰鍰次數/其他,花蓮縣,103,次,－
水污染罰鍰次數/其他,臺東縣,103,次,－
水污染罰鍰次數/其他,屏東縣,103,次,－
水污染罰鍰次數/其他,嘉義縣,103,次,－
水污染罰鍰次數/其他,雲林縣,103,次,－
水污染罰鍰次數/其他,南投縣,103,次,－
水污染罰鍰次數/其他,彰化縣,103,次,－
水污染罰鍰次數/其他,苗栗縣,103,次,－
水污染罰鍰次數/其他,新竹縣,103,次,－
水污染罰鍰次數/其他,宜蘭縣,103,次,－
水污染罰鍰次數/其他,高雄市,103,次,－
水污染罰鍰次數/其他,臺南市,103,次,－
水污染罰鍰次數/其他,臺中市,103,次,－
水污染罰鍰次數/其他,桃園市,103,次,－
水污染罰鍰次數/其他,臺北市,103,次,－
水污染罰鍰次數/其他,新北市,103,次,－
水污染罰鍰次數/其他,總計,103,次,－
水污染罰鍰次數/公共及社區下水道系統,連江縣,103,次,－
水污染罰鍰次數/公共及社區下水道系統,金門縣,103,次,5
水污染罰鍰次數/公共及社區下水道系統,嘉義市,103,次,－
水污染罰鍰次數/公共及社區下水道系統,新竹市,103,次,21
水污染罰鍰次數/公共及社區下水道系統,基隆市,103,次,－
水污染罰鍰次數/公共及社區下水道系統,澎湖縣,103,次,－
水污染罰鍰次數/公共及社區下水道系統,花蓮縣,103,次,－
水污染罰鍰次數/公共及社區下水道系統,臺東縣,103,次,－
水污染罰鍰次數/公共及社區下水道系統,屏東縣,103,次,2
水污染罰鍰次數/公共及社區下水道系統,嘉義縣,103,次,－
水污染罰鍰次數/公共及社區下水道系統,雲林縣,103,次,－
水污染罰鍰次數/公共及社區下水道系統,南投縣,103,次,2
水污染罰鍰次數/公共及社區下水道系統,彰化縣,103,次,1
水污染罰鍰次數/公共及社區下水道系統,苗栗縣,103,次,2
水污染罰鍰次數/公共及社區下水道系統,新竹縣,103,次,8
水污染罰鍰次數/公共及社區下水道系統,宜蘭縣,103,次,5
水污染罰鍰次數/公共及社區下水道系統,高雄市,103,次,5
水污染罰鍰次數/公共及社區下水道系統,臺南市,103,次,6
水污染罰鍰次數/公共及社區下水道系統,臺中市,103,次,7
水污染罰鍰次數/公共及社區下水道系統,桃園市,103,次,1
水污染罰鍰次數/公共及社區下水道系統,臺北市,103,次,5
水污染罰鍰次數/公共及社區下水道系統,新北市,103,次,12
水污染罰鍰次數/公共及社區下水道系統,總計,103,次,82
水污染罰鍰次數/工業區專用污水下水道系統,連江縣,103,次,－
水污染罰鍰次數/工業區專用污水下水道系統,金門縣,103,次,－
水污染罰鍰次數/工業區專用污水下水道系統,嘉義市,103,次,－
水污染罰鍰次數/工業區專用污水下水道系統,新竹市,103,次,－
水污染罰鍰次數/工業區專用污水下水道系統,基隆市,103,次,－
水污染罰鍰次數/工業區專用污水下水道系統,澎湖縣,103,次,－
水污染罰鍰次數/工業區專用污水下水道系統,花蓮縣,103,次,－
水污染罰鍰次數/工業區專用污水下水道系統,臺東縣,103,次,－
水污染罰鍰次數/工業區專用污水下水道系統,屏東縣,103,次,3
水污染罰鍰次數/工業區專用污水下水道系統,嘉義縣,103,次,2
水污染罰鍰次數/工業區專用污水下水道系統,雲林縣,103,次,3
水污染罰鍰次數/工業區專用污水下水道系統,南投縣,103,次,1
水污染罰鍰次數/工業區專用污水下水道系統,彰化縣,103,次,13
水污染罰鍰次數/工業區專用污水下水道系統,苗栗縣,103,次,－
水污染罰鍰次數/工業區專用污水下水道系統,新竹縣,103,次,1
水污染罰鍰次數/工業區專用污水下水道系統,宜蘭縣,103,次,6
水污染罰鍰次數/工業區專用污水下水道系統,高雄市,103,次,12
水污染罰鍰次數/工業區專用污水下水道系統,臺南市,103,次,3
水污染罰鍰次數/工業區專用污水下水道系統,臺中市,103,次,11
水污染罰鍰次數/工業區專用污水下水道系統,桃園市,103,次,34
水污染罰鍰次數/工業區專用污水下水道系統,臺北市,103,次,－
水污染罰鍰次數/工業區專用污水下水道系統,新北市,103,次,1
水污染罰鍰次數/工業區專用污水下水道系統,總計,103,次,90
水污染罰鍰次數/畜牧業(一)廢水,連江縣,103,次,－
水污染罰鍰次數/畜牧業(一)廢水,金門縣,103,次,－
水污染罰鍰次數/畜牧業(一)廢水,嘉義市,103,次,－
水污染罰鍰次數/畜牧業(一)廢水,新竹市,103,次,7
水污染罰鍰次數/畜牧業(一)廢水,基隆市,103,次,－
水污染罰鍰次數/畜牧業(一)廢水,澎湖縣,103,次,－
水污染罰鍰次數/畜牧業(一)廢水,花蓮縣,103,次,4
水污染罰鍰次數/畜牧業(一)廢水,臺東縣,103,次,1
水污染罰鍰次數/畜牧業(一)廢水,屏東縣,103,次,164
水污染罰鍰次數/畜牧業(一)廢水,嘉義縣,103,次,36
水污染罰鍰次數/畜牧業(一)廢水,雲林縣,103,次,120
水污染罰鍰次數/畜牧業(一)廢水,南投縣,103,次,9
水污染罰鍰次數/畜牧業(一)廢水,彰化縣,103,次,31
水污染罰鍰次數/畜牧業(一)廢水,苗栗縣,103,次,13
水污染罰鍰次數/畜牧業(一)廢水,新竹縣,103,次,8
水污染罰鍰次數/畜牧業(一)廢水,宜蘭縣,103,次,25
水污染罰鍰次數/畜牧業(一)廢水,高雄市,103,次,92
水污染罰鍰次數/畜牧業(一)廢水,臺南市,103,次,97
水污染罰鍰次數/畜牧業(一)廢水,臺中市,103,次,15
水污染罰鍰次數/畜牧業(一)廢水,桃園市,103,次,8
水污染罰鍰次數/畜牧業(一)廢水,臺北市,103,次,－
水污染罰鍰次數/畜牧業(一)廢水,新北市,103,次,22
水污染罰鍰次數/畜牧業(一)廢水,總計,103,次,652
水污染罰鍰次數/事業廢水[畜牧業(一)除外],連江縣,103,次,4
水污染罰鍰次數/事業廢水[畜牧業(一)除外],金門縣,103,次,3
水污染罰鍰次數/事業廢水[畜牧業(一)除外],嘉義市,103,次,11
水污染罰鍰次數/事業廢水[畜牧業(一)除外],新竹市,103,次,28
水污染罰鍰次數/事業廢水[畜牧業(一)除外],基隆市,103,次,15
水污染罰鍰次數/事業廢水[畜牧業(一)除外],澎湖縣,103,次,3
水污染罰鍰次數/事業廢水[畜牧業(一)除外],花蓮縣,103,次,29
水污染罰鍰次數/事業廢水[畜牧業(一)除外],臺東縣,103,次,19
水污染罰鍰次數/事業廢水[畜牧業(一)除外],屏東縣,103,次,36
水污染罰鍰次數/事業廢水[畜牧業(一)除外],嘉義縣,103,次,32
水污染罰鍰次數/事業廢水[畜牧業(一)除外],雲林縣,103,次,53
水污染罰鍰次數/事業廢水[畜牧業(一)除外],南投縣,103,次,18
水污染罰鍰次數/事業廢水[畜牧業(一)除外],彰化縣,103,次,212
水污染罰鍰次數/事業廢水[畜牧業(一)除外],苗栗縣,103,次,110
水污染罰鍰次數/事業廢水[畜牧業(一)除外],新竹縣,103,次,86
水污染罰鍰次數/事業廢水[畜牧業(一)除外],宜蘭縣,103,次,58
水污染罰鍰次數/事業廢水[畜牧業(一)除外],高雄市,103,次,303
水污染罰鍰次數/事業廢水[畜牧業(一)除外],臺南市,103,次,209
水污染罰鍰次數/事業廢水[畜牧業(一)除外],臺中市,103,次,398
水污染罰鍰次數/事業廢水[畜牧業(一)除外],桃園市,103,次,527
水污染罰鍰次數/事業廢水[畜牧業(一)除外],臺北市,103,次,49
水污染罰鍰次數/事業廢水[畜牧業(一)除外],新北市,103,次,278
水污染罰鍰次數/事業廢水[畜牧業(一)除外],總計,103,次,"2,481"
水污染罰鍰次數/總計,連江縣,103,次,4
水污染罰鍰次數/總計,金門縣,103,次,8
水污染罰鍰次數/總計,嘉義市,103,次,11
水污染罰鍰次數/總計,新竹市,103,次,56
水污染罰鍰次數/總計,基隆市,103,次,15
水污染罰鍰次數/總計,澎湖縣,103,次,3
水污染罰鍰次數/總計,花蓮縣,103,次,33
水污染罰鍰次數/總計,臺東縣,103,次,20
水污染罰鍰次數/總計,屏東縣,103,次,205
水污染罰鍰次數/總計,嘉義縣,103,次,70
水污染罰鍰次數/總計,雲林縣,103,次,176
水污染罰鍰次數/總計,南投縣,103,次,30
水污染罰鍰次數/總計,彰化縣,103,次,257
水污染罰鍰次數/總計,苗栗縣,103,次,125
水污染罰鍰次數/總計,新竹縣,103,次,103
水污染罰鍰次數/總計,宜蘭縣,103,次,94
水污染罰鍰次數/總計,高雄市,103,次,412
水污染罰鍰次數/總計,臺南市,103,次,315
水污染罰鍰次數/總計,臺中市,103,次,431
水污染罰鍰次數/總計,桃園市,103,次,570
水污染罰鍰次數/總計,臺北市,103,次,54
水污染罰鍰次數/總計,新北市,103,次,313
水污染罰鍰次數/總計,總計,103,次,"3,305"
水污染罰鍰次數/其他,連江縣,102,次,－
水污染罰鍰次數/其他,金門縣,102,次,－
水污染罰鍰次數/其他,嘉義市,102,次,－
水污染罰鍰次數/其他,新竹市,102,次,－
水污染罰鍰次數/其他,基隆市,102,次,－
水污染罰鍰次數/其他,澎湖縣,102,次,－
水污染罰鍰次數/其他,花蓮縣,102,次,－
水污染罰鍰次數/其他,臺東縣,102,次,－
水污染罰鍰次數/其他,屏東縣,102,次,－
水污染罰鍰次數/其他,嘉義縣,102,次,－
水污染罰鍰次數/其他,雲林縣,102,次,－
水污染罰鍰次數/其他,南投縣,102,次,－
水污染罰鍰次數/其他,彰化縣,102,次,－
水污染罰鍰次數/其他,苗栗縣,102,次,－
水污染罰鍰次數/其他,新竹縣,102,次,－
水污染罰鍰次數/其他,宜蘭縣,102,次,－
水污染罰鍰次數/其他,高雄市,102,次,－
